Mozilla/5.0 (Linux; Android 9.0; LG Isai VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 11; Redmi Note 10 Pro India) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Archos Diamond 2 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.2987.108 UCBrowser/117 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy C7 SM-C7000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 13; Lenovo A390t) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 11; Overmax Vertis 3511 YouOvermax Vertis 3511 You) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 10; ZTE Blade A310) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Hisense V5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Xiaomi Redmi 6A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 13; Realme 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Vivo iQOO 7 Monster Orange) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy M12 Dual SIM NFC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Grand 2 LTE) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.2987.108 UCBrowser/99 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; Lenovo K900) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 13; Huawei Ascend Y300) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Gigabyte GSmart GS202Gigabyte GSmart GS202) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung SCH-i919) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Philips T539) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; LG X4+) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.2987.108 UCBrowser/90 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Archos Core 57S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Trend 2 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 10; Xolo Q1000sXolo Q1000s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; LG Optimus G Pro E988) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.2987.108 UCBrowser/100 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Huawei Mate 10 Lite Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Nokia 600) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy M31 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Hisense Infinity H60 Smart) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.2987.108 UCBrowser/95 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Huawei Enjoy 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 11; Xiaomi Hongmi 1S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 10; Wiko Kite 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Vivo X50 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 12; Sony Xperia XA2 Ultra Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 13; Karbonn Mobiles A26) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/113.0.4447.38
Mozilla/5.0 (Linux; Android 10; Gigabyte GSmart Mika M2Gigabyte GSmart Mika M2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 12; Huawei Enjoy 8 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 12; Lenovo A700e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 11; Vivo Y31A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 10; Vivo Y73 2021) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.2987.108 UCBrowser/103 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Panasonic Toughbook FZ-T1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 12; Realme Narzo 50 Pro 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 11; LG V30+ JOJO L-02K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 11; Intex Aqua Lions X1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy S6 Edge+ Verizon) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Realme V15 RMX3092) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Redmi 9 M2004J19C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 13; Vivo iQOO 7 Legend) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy On5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/98.0.4447.38
Mozilla/5.0 (Linux; Android 12; ZTE Avid 916) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 13; LG K61 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/118.0.4447.38
Mozilla/5.0 (Linux; Android 11; Micromax Vdeo 1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Young) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Qumo Quest 458Qumo Quest 458) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Motorola Moto G60 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/100.0.4447.38
Mozilla/5.0 (Linux; Android 11; Wiko Highway) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 13; Wiko Tommy) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 10; Nokia Lumia 928) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 12; Alcatel OT 815D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy A30s) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/90.0.2987.108 UCBrowser/100 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy On7 Prime Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 9.0; LG Harmony 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 11; Oppo Reno7 A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 13; Vivo X30 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy On5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 11; Karbonn Mobiles Titanium S7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 12; Redmi 9C NFC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 12; LG X cam F690S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy A40 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.2987.108 UCBrowser/90 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Tab S5e WiFiSamsung Galaxy Tab S5e WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy Core 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy A30s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/106.0.4447.38
Mozilla/5.0 (Linux; Android 13; InFocus Bingo 21InFocus Bingo 21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Archos 50 Titanium 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Honor 30S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 13; Sharp Aquos Sense SHV40) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.2987.108 UCBrowser/119 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Samsung SM-G510F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Overmax Vertis 4510 ExpiOvermax Vertis 4510 Expi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Z2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/119.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy S4 Verizon) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/109.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Y Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 10; Panasonic Eluga Ray 500) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 13; Vivo Y55s 2021) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy A73) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Alcatel C60) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Oppo Find Gemini Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/119.0.4447.38
Mozilla/5.0 (Linux; Android 11; Vivo V7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 11; Archos 50 Graphite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 9.0; LG V40 ThinQ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/104.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Xiaomi Redmi Note 2 Prime) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.2987.108 UCBrowser/115 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy S6 Edge SCV31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Micromax Canvas Selfie Lens) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.2987.108 UCBrowser/120 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Kyocera Hydro VibeKyocera Hydro Vibe) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 10; Archos Sense 50DC) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.2987.108 UCBrowser/98 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; ZTE V5S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Buddy) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.2987.108 UCBrowser/95 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Intex Aqua Lions 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Huawei Y6 II) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 11; Vivo Y20 2021) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/116.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Intex cloud Breeze) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Wiko Highway Signs) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Nexus Telus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/105.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Nokia Lumia 525) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy A30s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 12; Lenovo P2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 13; Oppo Reno6 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 12; Archos Diamond 2 Note) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 12; Itel A37Itel A37) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Sony Xperia 10 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; LG X Power K450) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 11; Motorola Moto E7 Power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 10; Karbonn Mobiles Titanium S2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/102.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; LG K7 LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 11; Xolo Q800Xolo Q800) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Xiaomi 11 Youth Edition) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.2987.108 UCBrowser/93 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Oukitel C4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Motorola Moto G7 Power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Itel A11Itel A11) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/102.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Fame Lite Duos) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/106.0.4447.38
Mozilla/5.0 (Linux; Android 10; Oppo Reno 5G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.2987.108 UCBrowser/102 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Xiaomi Mi 8 Explorer) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Archos 55 Helium) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Google Nexus 10Samsung Google Nexus 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Note3 N9002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Nokia Lumia 1320) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.2987.108 UCBrowser/101 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy S10 Lite Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia ZL2) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.2987.108 UCBrowser/107 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; LG Optimus G E973) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Xolo Q3000Xolo Q3000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Nokia 3.4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Beam) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 13; Panasonic P55 Max) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 13; Motorola XT788) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.2987.108 UCBrowser/98 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Archos Core 55S) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.2987.108 UCBrowser/94 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Irbis SP511Irbis SP511) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 13; Nokia 2.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 13; LG T325) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/104.0.4447.38
Mozilla/5.0 (Linux; Android 11; Karbonn Mobiles A92 Star) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Vivo S15e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 10; Micromax Bolt Q335) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 13; Vivo Y70t) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy A22 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Oppo Reno 4 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 12; ZTE Blade V10 Vita) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.2987.108 UCBrowser/98 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; ZTE Warp Sync) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Vivo Y83) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/99.0.4447.38
Mozilla/5.0 (Linux; Android 10; ZTE Blade Z10) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.2987.108 UCBrowser/91 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Core 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Motorola Moto G60 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; LG GD880 Mini) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 10; ZTE Softbank 008Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Honor 7A AUM-TL00) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Vivo Y91) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 11; LG L70 Tri) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/104.0.4447.38
Mozilla/5.0 (Linux; Android 11; Xiaomi Mi MIX) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36
